frame,Neutral,Happiness,Sadness,Surprise,Fear,Disgust,Anger
000001,0.6259228,0.2763268,0.033525277,0.042410657,0.005775456,0.0058860816,0.010152857
000002,0.6259228,0.2763268,0.033525277,0.042410657,0.005775456,0.0058860816,0.010152857
000003,0.6259228,0.2763268,0.033525277,0.042410657,0.005775456,0.0058860816,0.010152857
000004,0.6259228,0.2763268,0.033525277,0.042410657,0.005775456,0.0058860816,0.010152857
